icao24,callsign,latitude,longitude,altitude,timestamp
750239,AXM1726,3.6253,101.0312,10027.92,2026-03-27 16:08:22
750239,AXM1726,3.6253,101.0312,10027.92,2026-03-27 16:10:28
80073e,AIC301,4.4674,101.4504,11574.78,2026-03-27 17:52:05
80073e,AIC301,4.4674,101.4504,11574.78,2026-03-27 17:53:06
8005f1,AIC309,3.691,101.4868,12184.38,2026-03-27 17:55:07
8007cd,IGO1001,3.9808,100.0591,11277.6,2026-03-27 18:07:30
8007cd,IGO1001,3.8211,100.2221,11277.6,2026-03-27 18:08:31
8007cd,IGO1001,3.7251,100.3201,11277.6,2026-03-27 18:09:32
8007cd,IGO1001,3.6318,100.4153,11285.22,2026-03-27 18:10:33
8940ba,N/A,3.8655,100.1769,11887.2,2026-03-27 18:13:35
8940ba,DHX781,3.7702,100.2742,11887.2,2026-03-27 18:14:36
8940ba,DHX781,3.6823,100.3639,11887.2,2026-03-27 18:15:37
8940ba,DHX781,3.6179,100.4295,11887.2,2026-03-27 18:16:38
76cef4,SIA346,3.7443,101.7163,9144.0,2026-03-27 18:28:54
76cef4,SIA346,3.8253,101.6246,9144.0,2026-03-27 18:29:55
76cef4,SIA346,3.897,101.5433,9144.0,2026-03-27 18:30:56
484cbc,KLM836,3.8923,101.7673,8534.4,2026-03-27 18:31:57
76cef4,SIA346,3.897,101.5433,9144.0,2026-03-27 18:31:57
484cbc,KLM836,4.0254,101.6759,8534.4,2026-03-27 18:32:57
76cef4,SIA346,3.897,101.5433,9144.0,2026-03-27 18:32:57
76bcca,N/A,3.6974,100.9964,11887.2,2026-03-27 18:32:57
484cbc,KLM836,4.1368,101.5993,8534.4,2026-03-27 18:33:58
76cef4,SIA346,3.897,101.5433,9144.0,2026-03-27 18:33:58
484cbc,KLM836,4.1368,101.5993,8534.4,2026-03-27 18:34:59
76cef4,SIA346,3.897,101.5433,9144.0,2026-03-27 18:34:59
484cbc,KLM836,4.1368,101.5993,8534.4,2026-03-27 18:36:00
484cbc,KLM836,4.1368,101.5993,8534.4,2026-03-27 18:37:01
484cbc,KLM836,4.1368,101.5993,8534.4,2026-03-27 18:38:02
484cbc,KLM836,4.1368,101.5993,8534.4,2026-03-27 18:39:03
abc591,FDX5040,3.684,101.2736,11277.6,2026-03-27 18:51:13
76cda7,SIA302,3.6052,101.6757,9845.04,2026-03-27 19:00:20
76cda7,SIA302,3.7023,101.5712,9974.58,2026-03-27 19:01:21
76cda7,SIA302,3.7836,101.4858,10088.88,2026-03-27 19:02:22
76cda7,SIA302,3.8925,101.4037,10195.56,2026-03-27 19:03:23
76cda7,SIA302,3.9696,101.3628,10279.38,2026-03-27 19:04:24
76cda7,SIA302,3.9696,101.3628,10279.38,2026-03-27 19:05:24
76cda7,SIA302,3.9696,101.3628,10279.38,2026-03-27 19:06:25
76cda7,SIA302,3.9696,101.3628,10279.38,2026-03-27 19:07:26
76cda7,SIA302,3.9696,101.3628,10279.38,2026-03-27 19:08:27
800b14,N/A,3.8253,100.2179,10668.0,2026-03-27 19:17:34
800b14,IGO1005,3.7782,100.2661,10668.0,2026-03-27 19:18:35
800b14,IGO1005,3.6842,100.3618,10668.0,2026-03-27 19:19:36
800b14,IGO1005,3.6842,100.3618,10668.0,2026-03-27 19:20:37
896214,UAE9363,3.6206,100.7376,9144.0,2026-03-27 19:22:39
896214,UAE9363,3.6831,100.6525,9144.0,2026-03-27 19:23:40
896214,UAE9363,3.6831,100.6525,9144.0,2026-03-27 19:24:41
896214,UAE9363,3.6831,100.6525,9144.0,2026-03-27 19:25:42
896214,UAE9363,3.6831,100.6525,9144.0,2026-03-27 19:26:42
896214,UAE9363,3.6831,100.6525,9144.0,2026-03-27 19:27:43
76bcce,TGW60,3.9138,101.7813,10363.2,2026-03-27 19:52:03
76bcce,TGW60,3.996,101.7231,10355.58,2026-03-27 19:53:04
76bcce,TGW60,4.1382,101.6194,10355.58,2026-03-27 19:54:05
76bcce,TGW60,4.2324,101.5128,10355.58,2026-03-27 19:55:06
